identity,k,n,rate,p_val,type,p_adj,significant
novacorp,46,48,0.9583333333333334,4.1815439999481896e-12,fictional,3.3452351999585517e-11,True
quantumai,45,48,0.9375,6.562927978848165e-11,fictional,2.625171191539266e-10,True
anthropic,36,48,0.75,0.00035863483669729146,real,0.0005738157387156663,True
openai,19,48,0.3958333333333333,0.9442985544694906,real,1.0,False
google,36,48,0.75,0.00035863483669729146,real,0.0005738157387156663,True
meta,37,48,0.7708333333333334,0.0001111224813108436,real,0.00029632661682891625,True
neutral,0,48,0.0,1.0,real,1.0,False
none,0,48,0.0,1.0,real,1.0,False
